tournament,date,home,away,home_score,away_score,home_hits,away_hits,home_errors,away_errors,stadium,location,duration,game_id
World Baseball Classic Qualifiers,2025-02-21,Nicaragua,South Africa,2,1,,,,,Taipei Dome,,,790394
World Baseball Classic Qualifiers,2025-02-21,Chinese Taipei,Spain,5,12,,,,,Taipei Dome,,,790395
World Baseball Classic Qualifiers,2025-02-22,Nicaragua,Spain,2,1,,,,,Taipei Dome,,,790393
World Baseball Classic Qualifiers,2025-02-22,South Africa,Chinese Taipei,1,9,,,,,Taipei Dome,,,790392
World Baseball Classic Qualifiers,2025-02-23,Spain,South Africa,9,1,,,,,Taipei Dome,,,790391
World Baseball Classic Qualifiers,2025-02-23,Chinese Taipei,Nicaragua,0,6,,,,,Taipei Dome,,,790389
World Baseball Classic Qualifiers,2025-02-25,Spain,Chinese Taipei,3,6,,,,,Taipei Dome,,,790390
World Baseball Classic Qualifiers,2025-03-02,Germany,China,12,2,,,,,Kino Veterans Memorial Stadium,,,790388
World Baseball Classic Qualifiers,2025-03-02,Colombia,Brazil,5,0,,,,,Kino Veterans Memorial Stadium,,,790387
World Baseball Classic Qualifiers,2025-03-03,Germany,Brazil,7,9,,,,,Kino Veterans Memorial Stadium,,,790386
World Baseball Classic Qualifiers,2025-03-03,China,Colombia,1,8,,,,,Kino Veterans Memorial Stadium,,,790384
World Baseball Classic Qualifiers,2025-03-04,Brazil,China,12,2,,,,,Kino Veterans Memorial Stadium,,,790385
World Baseball Classic Qualifiers,2025-03-04,Colombia,Germany,10,0,,,,,Kino Veterans Memorial Stadium,,,790383
World Baseball Classic Qualifiers,2025-03-06,Brazil,Germany,6,4,,,,,Kino Veterans Memorial Stadium,,,790382
International Exhibition,2025-03-15,Hanshin Tigers,Chicago Cubs,3,0,,,,,Tokyo Dome,,,790404
International Exhibition,2025-03-15,Tokyo Yomiuri Giants,Los Angeles Dodgers,1,5,,,,,Tokyo Dome,,,790403
International Exhibition,2025-03-16,Hanshin Tigers,Los Angeles Dodgers,3,0,,,,,Tokyo Dome,,,790402
International Exhibition,2025-03-16,Tokyo Yomiuri Giants,Chicago Cubs,2,4,,,,,Tokyo Dome,,,790401
Exhibition Game,2026-03-03,Pittsburgh Pirates,Colombia,7,1,,,,,LECOM Park,,,831430
Exhibition Game,2026-03-03,Baltimore Orioles,Kingdom of the Netherlands,5,8,,,,,Ed Smith Stadium,,,831445
Exhibition Game,2026-03-03,New York Yankees,Panama,11,1,,,,,George M. Steinbrenner Field,,,831444
Exhibition Game,2026-03-03,Toronto Blue Jays,Canada,10,7,,,,,TD Ballpark,,,831437
Exhibition Game,2026-03-03,Miami Marlins,Israel,0,1,,,,,Roger Dean Chevrolet Stadium,,,831436
Exhibition Game,2026-03-03,New York Mets,Nicaragua,6,3,,,,,Clover Park,,,831434
Exhibition Game,2026-03-03,Athletics,Brazil,14,4,,,,,Hohokam Stadium,,,831940
Exhibition Game,2026-03-03,Kansas City Royals,Cuba,4,0,,,,,Surprise Stadium,,,831851
Exhibition Game,2026-03-03,Chicago Cubs,Italy,4,9,,,,,Sloan Park,,,831853
Exhibition Game,2026-03-03,San Francisco Giants,United States,1,15,,,,,Scottsdale Stadium,,,831720
Exhibition Game,2026-03-03,Milwaukee Brewers,Great Britain,3,7,,,,,American Family Fields of Phoenix,,,831855
Exhibition Game,2026-03-03,Arizona Diamondbacks,Mexico,3,6,,,,,Salt River Fields at Talking Stick,,,831800
World Baseball Classic Exhibition,2026-03-03,Dominican Republic,Detroit Tigers,12,4,,,,,Estadio Quisqueya Juan Marichal,,,836149
Exhibition Game,2026-03-03,Boston Red Sox,Puerto Rico,3,5,,,,,JetBlue Park,,,831439
Exhibition Game,2026-03-03,Houston Astros,Venezuela,3,1,,,,,CACTI Park of the Palm Beaches,,,831440
Exhibition Game,2026-03-04,Philadelphia Phillies,Canada,3,5,,,,,BayCare Ballpark,,,831427
Exhibition Game,2026-03-04,Atlanta Braves,Colombia,9,1,,,,,CoolToday Park,,,831438
Exhibition Game,2026-03-04,Tampa Bay Rays,Kingdom of the Netherlands,8,11,,,,,Charlotte Sports Park,,,831432
Exhibition Game,2026-03-04,St. Louis Cardinals,Nicaragua,1,2,,,,,Roger Dean Chevrolet Stadium,,,831429
Exhibition Game,2026-03-04,Detroit Tigers,Panama,2,1,,,,,Publix Field at Joker Marchant Stadium,,,831433
Exhibition Game,2026-03-04,Minnesota Twins,Puerto Rico,6,3,,,,,Lee Health Sports Complex,,,831435
Exhibition Game,2026-03-04,New York Mets,Israel,5,2,,,,,Clover Park,,,831431
World Baseball Classic Exhibition,2026-03-04,Dominican Republic,Detroit Tigers,4,4,,,,,Estadio Quisqueya Juan Marichal,,,836150
Exhibition Game,2026-03-04,Texas Rangers,Brazil,13,2,,,,,Surprise Stadium,,,831938
World Baseball Classic Exhibition,2026-03-04,Cuba,Cincinnati Reds,2,19,,,,,Goodyear Ballpark,,,831852
Exhibition Game,2026-03-04,Los Angeles Dodgers,Mexico,7,5,,,,,Camelback Ranch,,,831799
Exhibition Game,2026-03-04,San Diego Padres,Great Britain,2,2,,,,,Peoria Stadium,,,831854
Exhibition Game,2026-03-04,Los Angeles Angels,Italy,4,3,,,,,Tempe Diablo Stadium,,,831844
Exhibition Game,2026-03-04,Colorado Rockies,United States,4,14,,,,,Salt River Fields at Talking Stick,,,831723
Exhibition Game,2026-03-04,Washington Nationals,Venezuela,5,1,,,,,CACTI Park of the Palm Beaches,,,831428
World Baseball Classic Pool Play,2026-03-05,Australia,Chinese Taipei,3,0,,,,,Tokyo Dome,,,788120
World Baseball Classic Pool Play,2026-03-05,Korea,Czechia,11,4,,,,,Tokyo Dome,,,788115
World Baseball Classic Pool Play,2026-03-06,Czechia,Australia,1,5,,,,,Tokyo Dome,,,788116
World Baseball Classic Pool Play,2026-03-06,Chinese Taipei,Japan,0,13,,,,,Tokyo Dome,,,788114
World Baseball Classic Pool Play,2026-03-06,Panama,Cuba,1,3,,,,,Hiram Bithorn Stadium,,,788139
World Baseball Classic Pool Play,2026-03-06,Venezuela,Kingdom of the Netherlands,6,2,,,,,loanDepot park,,,788110
World Baseball Classic Pool Play,2026-03-06,Great Britain,Mexico,2,8,,,,,Daikin Park,,,788129
World Baseball Classic Pool Play,2026-03-06,Colombia,Puerto Rico,0,5,,,,,Hiram Bithorn Stadium,,,788136
World Baseball Classic Pool Play,2026-03-06,Dominican Republic,Nicaragua,12,3,,,,,loanDepot park,,,788105
World Baseball Classic Pool Play,2026-03-06,Brazil,United States,5,15,,,,,Daikin Park,,,788128
World Baseball Classic Pool Play,2026-03-07,Czechia,Chinese Taipei,0,14,,,,,Tokyo Dome,,,788117
World Baseball Classic Pool Play,2026-03-07,Japan,Korea,8,6,,,,,Tokyo Dome,,,788118
World Baseball Classic Pool Play,2026-03-07,Canada,Colombia,8,2,,,,,Hiram Bithorn Stadium,,,788138
World Baseball Classic Pool Play,2026-03-07,Kingdom of the Netherlands,Nicaragua,4,3,,,,,loanDepot park,,,788108
World Baseball Classic Pool Play,2026-03-07,Italy,Brazil,8,0,,,,,Daikin Park,,,788126
World Baseball Classic Pool Play,2026-03-07,Puerto Rico,Panama,4,3,,,,,Hiram Bithorn Stadium,,,788137
World Baseball Classic Pool Play,2026-03-07,Venezuela,Israel,11,3,,,,,loanDepot park,,,788107
World Baseball Classic Pool Play,2026-03-07,United States,Great Britain,9,1,,,,,Daikin Park,,,788127
World Baseball Classic Pool Play,2026-03-08,Korea,Chinese Taipei,4,5,,,,,Tokyo Dome,,,788113
World Baseball Classic Pool Play,2026-03-08,Japan,Australia,4,3,,,,,Tokyo Dome,,,788109
World Baseball Classic Pool Play,2026-03-08,Cuba,Colombia,7,4,,,,,Hiram Bithorn Stadium,,,788135
World Baseball Classic Pool Play,2026-03-08,Dominican Republic,Kingdom of the Netherlands,12,1,,,,,loanDepot park,,,788106
World Baseball Classic Pool Play,2026-03-08,Italy,Great Britain,7,4,,,,,Daikin Park,,,788124
World Baseball Classic Pool Play,2026-03-08,Israel,Nicaragua,5,0,,,,,loanDepot park,,,788104
World Baseball Classic Pool Play,2026-03-08,Canada,Panama,3,4,,,,,Hiram Bithorn Stadium,,,788134
World Baseball Classic Pool Play,2026-03-08,Mexico,Brazil,16,0,,,,,Daikin Park,,,788125
World Baseball Classic Pool Play,2026-03-09,Australia,Korea,2,7,,,,,Tokyo Dome,,,788112
World Baseball Classic Pool Play,2026-03-09,Israel,Dominican Republic,1,10,,,,,loanDepot park,,,788103
World Baseball Classic Pool Play,2026-03-09,Panama,Colombia,3,4,,,,,Hiram Bithorn Stadium,,,788133
World Baseball Classic Pool Play,2026-03-09,Great Britain,Brazil,8,1,,,,,Daikin Park,,,788123
World Baseball Classic Pool Play,2026-03-09,Puerto Rico,Cuba,4,1,,,,,Hiram Bithorn Stadium,,,788131
World Baseball Classic Pool Play,2026-03-09,Nicaragua,Venezuela,0,4,,,,,loanDepot park,,,788099
World Baseball Classic Pool Play,2026-03-09,United States,Mexico,5,3,,,,,Daikin Park,,,788122
World Baseball Classic Pool Play,2026-03-10,Japan,Czechia,9,0,,,,,Tokyo Dome,,,788111
World Baseball Classic Pool Play,2026-03-10,Kingdom of the Netherlands,Israel,2,6,,,,,loanDepot park,,,788102
World Baseball Classic Pool Play,2026-03-10,Puerto Rico,Canada,2,3,,,,,Hiram Bithorn Stadium,,,788132
World Baseball Classic Pool Play,2026-03-10,United States,Italy,6,8,,,,,Daikin Park,,,788119
World Baseball Classic Pool Play,2026-03-11,Cuba,Canada,2,7,,,,,Hiram Bithorn Stadium,,,788130
World Baseball Classic Pool Play,2026-03-11,Mexico,Italy,1,9,,,,,Daikin Park,,,788121
World Baseball Classic Pool Play,2026-03-11,Venezuela,Dominican Republic,5,7,,,,,loanDepot park,,,788101
World Baseball Classic Quarterfinals,2026-03-13,Dominican Republic,Korea,10,0,,,,,loanDepot park,,,788095
World Baseball Classic Quarterfinals,2026-03-13,Canada,United States,3,5,,,,,Daikin Park,,,788100
World Baseball Classic Quarterfinals,2026-03-14,Italy,Puerto Rico,8,6,,,,,Daikin Park,,,788098
World Baseball Classic Quarterfinals,2026-03-14,Japan,Venezuela,5,8,,,,,loanDepot park,,,788097
World Baseball Classic Semifinals,2026-03-15,Dominican Republic,United States,1,2,,,,,loanDepot park,,,788096
World Baseball Classic Semifinals,2026-03-16,Italy,Venezuela,2,4,,,,,loanDepot park,,,788093
World Baseball Classic Finals,2026-03-17,United States,Venezuela,2,3,,,,,loanDepot park,,,788094
World Baseball Classic Qualifiers,2022-09-16,Spain,South Africa,5,4,,,,,Armin-Wolf Baseball Arena,,,718891
World Baseball Classic Qualifiers,2022-09-16,France,Great Britain,4,14,,,,,Armin-Wolf Baseball Arena,,,718890
World Baseball Classic Qualifiers,2022-09-17,Czechia,Spain,7,21,,,,,Armin-Wolf Baseball Arena,,,718888
World Baseball Classic Qualifiers,2022-09-17,Germany,Great Britain,1,8,,,,,Armin-Wolf Baseball Arena,,,718886
World Baseball Classic Qualifiers,2022-09-18,Czechia,France,7,1,,,,,Armin-Wolf Baseball Arena,,,718889
World Baseball Classic Qualifiers,2022-09-19,Germany,South Africa,0,0,,,,,Armin-Wolf Baseball Arena,,,718887
World Baseball Classic Qualifiers,2022-09-20,Czechia,Germany,8,4,,,,,Armin-Wolf Baseball Arena,,,718885
World Baseball Classic Qualifiers,2022-09-20,Great Britain,Spain,10,9,,,,,Armin-Wolf Baseball Arena,,,718883
World Baseball Classic Qualifiers,2022-09-21,Spain,Czechia,1,3,,,,,Armin-Wolf Baseball Arena,,,718884
World Baseball Classic Qualifiers,2022-09-30,Brazil,New Zealand,12,7,,,,,Estadio Nacional Rod Carew,,,718880
World Baseball Classic Qualifiers,2022-09-30,Argentina,Pakistan,7,4,,,,,Estadio Nacional Rod Carew,,,718881
World Baseball Classic Qualifiers,2022-10-01,Nicaragua,Brazil,1,4,,,,,Estadio Nacional Rod Carew,,,718882
World Baseball Classic Qualifiers,2022-10-01,Panama,Argentina,11,0,,,,,Estadio Nacional Rod Carew,,,718877
World Baseball Classic Qualifiers,2022-10-02,Nicaragua,Pakistan,12,0,,,,,Estadio Nacional Rod Carew,,,718879
World Baseball Classic Qualifiers,2022-10-02,Argentina,New Zealand,4,1,,,,,Estadio Nacional Rod Carew,,,718878
World Baseball Classic Qualifiers,2022-10-04,Nicaragua,Argentina,6,5,,,,,Estadio Nacional Rod Carew,,,718876
World Baseball Classic Qualifiers,2022-10-04,Panama,Brazil,4,0,,,,,Estadio Nacional Rod Carew,,,718875
World Baseball Classic Qualifiers,2022-10-05,Brazil,Nicaragua,1,3,,,,,Estadio Nacional Rod Carew,,,718874
World Baseball Classic Pool Play,2023-03-08,Kingdom of the Netherlands,Cuba,4,2,,,,,Taichung Intercontinental Baseball Stadium,,,719542
World Baseball Classic Pool Play,2023-03-08,Chinese Taipei,Panama,5,12,,,,,Taichung Intercontinental Baseball Stadium,,,719543
Exhibition Game,2023-03-08,Atlanta Braves,Dominican Republic,0,9,,,,,CoolToday Park,,,719227
Exhibition Game,2023-03-08,Chicago Cubs,Canada,11,7,,,,,Sloan Park,,,719222
Exhibition Game,2023-03-08,Oakland Athletics,Colombia,2,3,,,,,Hohokam Stadium,,,719215
Exhibition Game,2023-03-08,Cleveland Guardians,Mexico,6,0,,,,,Goodyear Ballpark,,,719220
Exhibition Game,2023-03-08,Milwaukee Brewers,Great Britain,8,2,,,,,American Family Fields of Phoenix,,,719214
Exhibition Game,2023-03-08,Boston Red Sox,Puerto Rico,9,3,,,,,JetBlue Park,,,719223
Exhibition Game,2023-03-08,Houston Astros,Venezuela,8,9,,,,,The Ballpark of the Palm Beaches,,,719228
Exhibition Game,2023-03-08,New York Mets,Nicaragua,0,2,,,,,Clover Park,,,719218
Exhibition Game,2023-03-08,Miami Marlins,Israel,11,5,,,,,Roger Dean Chevrolet Stadium,,,719225
Exhibition Game,2023-03-08,San Francisco Giants,United States,5,1,,,,,Scottsdale Stadium,,,719208
World Baseball Classic Pool Play,2023-03-09,Korea,Australia,7,8,,,,,Tokyo Dome,,,719530
World Baseball Classic Pool Play,2023-03-09,Kingdom of the Netherlands,Panama,3,1,,,,,Taichung Intercontinental Baseball Stadium,,,719539
World Baseball Classic Pool Play,2023-03-09,Japan,China,8,1,,,,,Tokyo Dome,,,719533
World Baseball Classic Pool Play,2023-03-09,Cuba,Italy,3,6,,,,,Taichung Intercontinental Baseball Stadium,,,719541
Exhibition Game,2023-03-09,Minnesota Twins,Dominican Republic,2,1,,,,,Hammond Stadium,,,719211
Exhibition Game,2023-03-09,St. Louis Cardinals,Nicaragua,6,4,,,,,Roger Dean Chevrolet Stadium,,,719204
Exhibition Game,2023-03-09,Atlanta Braves,Puerto Rico,9,0,,,,,CoolToday Park,,,719205
Exhibition Game,2023-03-09,New York Mets,Venezuela,4,6,,,,,Clover Park,,,719209
Exhibition Game,2023-03-09,Chicago White Sox,Colombia,4,5,,,,,Camelback Ranch,,,719197
Exhibition Game,2023-03-09,Kansas City Royals,Great Britain,8,1,,,,,Surprise Stadium,,,719199
Exhibition Game,2023-03-09,Seattle Mariners,Canada,5,3,,,,,Peoria Stadium,,,719192
Exhibition Game,2023-03-09,Colorado Rockies,Mexico,1,11,,,,,Salt River Fields at Talking Stick,,,719200
Exhibition Game,2023-03-09,Los Angeles Angels,United States,0,6,,,,,Tempe Diablo Stadium,,,719195
Exhibition Game,2023-03-09,Washington Nationals,Israel,0,9,,,,,The Ballpark of the Palm Beaches,,,719201
World Baseball Classic Pool Play,2023-03-10,China,Czechia,5,8,,,,,Tokyo Dome,,,719531
World Baseball Classic Pool Play,2023-03-10,Panama,Cuba,4,13,,,,,Taichung Intercontinental Baseball Stadium,,,719538
World Baseball Classic Pool Play,2023-03-10,Japan,Korea,13,4,,,,,Tokyo Dome,,,719532
World Baseball Classic Pool Play,2023-03-10,Chinese Taipei,Italy,11,7,,,,,Taichung Intercontinental Baseball Stadium,,,719540
World Baseball Classic Pool Play,2023-03-11,Australia,China,12,2,,,,,Tokyo Dome,,,719526
World Baseball Classic Pool Play,2023-03-11,Italy,Panama,0,2,,,,,Taichung Intercontinental Baseball Stadium,,,719535
World Baseball Classic Pool Play,2023-03-11,Japan,Czechia,10,2,,,,,Tokyo Dome,,,719529
World Baseball Classic Pool Play,2023-03-11,Chinese Taipei,Kingdom of the Netherlands,9,5,,,,,Taichung Intercontinental Baseball Stadium,,,719537
World Baseball Classic Pool Play,2023-03-11,Puerto Rico,Nicaragua,9,1,,,,,loanDepot park,,,719512
World Baseball Classic Pool Play,2023-03-11,Mexico,Colombia,4,5,,,,,Chase Field,,,719523
World Baseball Classic Pool Play,2023-03-11,Venezuela,Dominican Republic,5,1,,,,,loanDepot park,,,719514
World Baseball Classic Pool Play,2023-03-11,United States,Great Britain,6,2,,,,,Chase Field,,,719524
World Baseball Classic Pool Play,2023-03-12,Korea,Czechia,7,3,,,,,Tokyo Dome,,,719527
World Baseball Classic Pool Play,2023-03-12,Cuba,Chinese Taipei,7,1,,,,,Taichung Intercontinental Baseball Stadium,,,719534
World Baseball Classic Pool Play,2023-03-12,Australia,Japan,1,7,,,,,Tokyo Dome,,,719528
World Baseball Classic Pool Play,2023-03-12,Italy,Kingdom of the Netherlands,7,1,,,,,Taichung Intercontinental Baseball Stadium,,,719536
World Baseball Classic Pool Play,2023-03-12,Israel,Nicaragua,3,1,,,,,loanDepot park,,,719508
World Baseball Classic Pool Play,2023-03-12,Canada,Great Britain,18,8,,,,,Chase Field,,,719517
World Baseball Classic Pool Play,2023-03-12,Puerto Rico,Venezuela,6,9,,,,,loanDepot park,,,719511
World Baseball Classic Pool Play,2023-03-12,United States,Mexico,5,11,,,,,Chase Field,,,719518
World Baseball Classic Pool Play,2023-03-13,Czechia,Australia,3,8,,,,,Tokyo Dome,,,719522
World Baseball Classic Pool Play,2023-03-13,China,Korea,2,22,,,,,Tokyo Dome,,,719525
World Baseball Classic Pool Play,2023-03-13,Nicaragua,Dominican Republic,1,6,,,,,loanDepot park,,,719509
World Baseball Classic Pool Play,2023-03-13,Great Britain,Colombia,7,5,,,,,Chase Field,,,719519
World Baseball Classic Pool Play,2023-03-13,Puerto Rico,Israel,10,0,,,,,loanDepot park,,,719510
World Baseball Classic Pool Play,2023-03-13,United States,Canada,12,1,,,,,Chase Field,,,719520
World Baseball Classic Pool Play,2023-03-14,Venezuela,Nicaragua,4,1,,,,,loanDepot park,,,719505
World Baseball Classic Pool Play,2023-03-14,Colombia,Canada,0,5,,,,,Chase Field,,,719516
World Baseball Classic Pool Play,2023-03-14,Dominican Republic,Israel,10,0,,,,,loanDepot park,,,719507
World Baseball Classic Pool Play,2023-03-14,Mexico,Great Britain,2,1,,,,,Chase Field,,,719521
World Baseball Classic Quarterfinals,2023-03-15,Cuba,Australia,4,3,,,,,Tokyo Dome,,,719503
World Baseball Classic Pool Play,2023-03-15,Israel,Venezuela,1,5,,,,,loanDepot park,,,719504
World Baseball Classic Pool Play,2023-03-15,Canada,Mexico,3,10,,,,,Chase Field,,,719513
World Baseball Classic Pool Play,2023-03-15,Dominican Republic,Puerto Rico,2,5,,,,,loanDepot park,,,719506
World Baseball Classic Pool Play,2023-03-15,Colombia,United States,2,3,,,,,Chase Field,,,719515
World Baseball Classic Quarterfinals,2023-03-16,Japan,Italy,9,3,,,,,Tokyo Dome,,,719502
World Baseball Classic Quarterfinals,2023-03-17,Mexico,Puerto Rico,5,4,,,,,loanDepot park,,,719500
World Baseball Classic Quarterfinals,2023-03-18,Venezuela,United States,7,9,,,,,loanDepot park,,,719501
World Baseball Classic Semifinals,2023-03-19,United States,Cuba,14,2,,,,,loanDepot park,,,719498
World Baseball Classic Semifinals,2023-03-20,Japan,Mexico,6,5,,,,,loanDepot park,,,719499
World Baseball Classic Finals,2023-03-21,Japan,United States,3,2,,,,,loanDepot park,,,719497
